r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-8297065933.6566811 5.7910776986510948 -1.0301112100413696e+52 -9.5294535426170284e+33 283653094.27395117 1.5462568473565872e+20 3512.5766570716514 0.35143663666601638 2.9108514644633485e+17 " " c 2.2357330952369976
-8283306288.6589069 5.77008324776404 -1.028889654482065e+52 -9.487695579802677e+33 284019246.63191313 1.5507228829368939e+20 3517.2342368628347 0.3514318340330877 2.939822631481648e+17 " " c 2.2351315670717522
-8269546643.6611328 5.7491307430838008 -1.0276584244127946e+52 -9.4460210479936807e+33 284385005.8945002 1.5551900288829063e+20 3521.8815233554851 0.35142705680985387 2.9689932016510547e+17 " " c 2.2345298893677001
-8255786998.6633587 5.7282203140948784 -1.0264174929971779e+52 -9.4044302047347136e+33 284750370.64852238 1.559658242156871e+20 3526.5184977830786 0.35142230483926468 2.9983636301102893e+17 " " c 2.2339280660674663
-8242027353.6655846 5.707352089322308 -1.025166833881333e+52 -9.3629233056620705e+33 285115339.48317641 1.5641274797006494e+20 3531.145141595784 0.35141757796544676 3.0279343644934592e+17 " " c 2.2333261011216847
-8228267708.6678104 5.6865261963309433 -1.0239064211992955e+52 -9.3215006045022467e+33 285479910.99005061 1.5685976984366098e+20 3535.7614364604028 0.35141287603369387 3.0577058448659539e+17 " " c 2.2327239984924918
-8214508063.6700363 5.665742761724772 -1.0226362295784052e+52 -9.280162353070572e+33 285844083.76312941 1.5730688552685175e+20 3540.3673642603085 0.35140819889045666 3.087678503660784e+17 " " c 2.2321217621493812
-8200748418.6722622 5.6450019111462577 -1.0213562341446588e+52 -9.2389088012699063e+33 286207856.39879805 1.5775409070824214e+20 3544.9629070953724 0.35140354638333299 3.1178527656154074e+17 " " c 2.2315193960710915
-8186988773.6744881 5.6243037692757065 -1.0200664105280287e+52 -9.1977401970893811e+33 286571227.49584705 1.5820138107475378e+20 3549.5480472818781 0.35139891836105797 3.1482290477089907e+17 " " c 2.2309169042469148
-8173229128.6767139 5.6036484598306711 -1.0187667348677455e+52 -9.1566567866032047e+33 286934195.65547651 1.5864875231171337e+20 3554.1227673524431 0.35139431467349441 3.1788077591001178e+17 " " c 2.2303142906738587
-8159469483.6789398 5.583036105565367 -1.017457183817546e+52 -9.1156588139695163e+33 287296759.48130041 1.5909620010294044e+20 3558.687050055913 0.35138973517162325 3.2095893010650285e+17 " " c 2.2297115593594095
-8145709838.6811657 5.5624668282701339 -1.0161377345508824e+52 -9.0747465214292965e+33 287658917.57935065 1.5954372013083515e+20 3563.2408783572678 0.35138517970753397 3.240574066936201e+17 " " c 2.2291087143194495
-8131950193.6833916 5.541940748770906 -1.0148083647660945e+52 -9.0339201493053334e+33 288020668.55808115 1.5999130807646559e+20 3567.7842354375052 0.35138064813441539 3.2717624420416077e+17 " " c 2.2285057595792463
-8118190548.6856174 5.5214579869287288 -1.013469052691543e+52 -8.9931799360012419e+33 288382011.02837175 1.6043895961965484e+20 3572.3171046935258 0.35137614030654607 3.3031548036442528e+17 " " c 2.2279026991721951
-8104430903.6878433 5.5010186616392849 -1.0121197770907026e+52 -8.9525261180005389e+33 288742943.60353208 1.6088667043906788e+20 3576.8394697380058 0.35137165607928533 3.3347515208824211e+17 " " c 2.2272995371429465
-8090671258.6900692 5.4806228908324615 -1.0107605172672144e+52 -8.9119589298657662e+33 289103464.89930505 1.6133443621229809e+20 3581.3513143992659 0.35136719530906407 3.3665529547101632e+17 " " c 2.2266962775426573
-8076911613.6922951 5.4602707914719346 -1.0093912530698979e+52 -8.8714786042376781e+33 289463573.5338707 1.6178225261595345e+20 3585.8526227211287 0.35136275785337573 3.3985594578385651e+17 " " c 2.2260929244330758
-8063151968.694521 5.4399624795547865 -1.008011964897719e+52 -8.8310853718344713e+33 289823268.12784946 1.6223011532574255e+20 3590.3433789627752 0.35135834357076728 3.4307713746773811e+17 " " c 2.2254894818847566
-8049392323.6967468 5.4196980701111501 -1.0066226337047161e+52 -8.7907794614510778e+33 290182547.30430555 1.6267802001656018e+20 3594.8235675985852 0.35135395232083044 3.4631890412771104e+17 " " c 2.224885953976572
-8035632678.6989727 5.3994776772038744 -1.0052232410048814e+52 -8.750561099958506e+33 290541409.68875027 1.6312596236257267e+20 3599.2931733179767 0.35134958396419286 3.4958127852718227e+17 " " c 2.2242823447973663
-8021873033.7011986 5.3793014139282214 -1.0038137688769974e+52 -8.7104305123032336e+33 290899853.90914506 1.6357393803730298e+20 3603.752181025237 0.35134523836250942 3.5286429258223174e+17 " " c 2.2236786584439834
-8008113388.7034245 5.3591693924115935 -1.0023941999694279e+52 -8.6703879215066595e+33 291257878.59590453 1.6402194271371533e+20 3608.2005758393443 0.35134091537845369 3.5616797735598611e+17 " " c 2.2230748990217846
-7994353743.7056503 5.3390817238132744 -1.0009645175048616e+52 -8.6304335486646027e+33 291615482.38189948 1.6446997206429965e+20 3612.6383430937808 0.35133661487570939 3.5949236305306099e+17 " " c 2.2224710706467912
-7980594098.7078762 5.319038518324211 -9.9952470528500935e+51 -8.5905676129468569e+33 291972663.90245944 1.6491802176115569e+20 3617.0654683363468 0.35133233671896175 3.6283747901403571e+17 " " c 2.2218671774416632
-7966834453.7101021 5.2990398851668159 -9.9807474769525169e+51 -8.5507903315967978e+33 292329421.79537559 1.6536608747607668e+20 3621.481937328957 0.35132808077388955 3.6620335370999411e+17 " " c 2.2212632235398817
-7953074808.712328 5.2790859325947919 -9.9661462970923878e+51 -8.511101919931041e+33 292685754.70090306 1.6581416488063281e+20 3625.8877360474339 0.35132384690715646 3.6959001473713069e+17 " " c 2.2206592130819707
